Time,Positive,Negative
2018-06-16 08:53:12.000000,97.0,4.0
2018-06-16 08:58:12.000000,96.0,5.0
2018-06-16 09:03:12.000000,94.0,6.0
2018-06-16 09:08:12.000000,95.0,6.0
2018-06-16 09:13:12.000000,97.0,4.0
2018-06-16 09:18:12.000000,94.0,7.0
2018-06-16 09:23:12.000000,100.0,0.0
2018-06-16 09:32:06.540591,96.0,5.0
2018-06-16 09:37:06.671494,92.0,9.0
2018-06-16 09:42:06.809363,95.0,6.0
2018-06-16 09:47:06.956671,97.0,4.0
2018-06-16 09:52:07.093529,76.0,25.0
2018-06-16 09:57:07.186492,69.0,32.0
2018-06-16 10:02:07.358338,87.0,14.0
2018-06-16 10:07:07.505502,82.0,19.0
2018-06-16 10:12:07.654230,84.0,17.0
2018-06-16 10:17:07.817336,80.0,21.0
2018-06-16 10:22:07.923671,86.0,15.0
2018-06-16 10:27:08.131715,89.0,12.0
2018-06-16 10:32:08.269071,83.0,18.0
2018-06-16 10:37:08.471578,83.0,18.0
2018-06-16 10:42:08.687822,87.0,14.0
2018-06-16 10:47:08.882745,86.0,15.0
2018-06-16 10:52:09.120206,89.0,12.0
2018-06-16 10:57:09.355656,86.0,15.0
2018-06-16 11:02:09.637407,89.0,12.0
2018-06-16 11:07:09.916119,89.0,12.0
2018-06-16 11:12:10.288002,87.0,14.0
2018-06-16 11:17:10.639592,87.0,14.0
2018-06-16 11:22:11.013032,85.0,16.0
2018-06-16 11:27:11.438209,86.0,15.0
2018-06-16 11:32:11.866783,88.0,13.0
2018-06-16 11:37:12.348748,87.0,14.0
2018-06-16 11:42:12.848974,84.0,17.0
2018-06-16 11:47:13.466949,81.0,20.0
2018-06-16 11:52:14.042639,84.0,17.0
2018-06-16 11:57:14.673399,85.0,16.0
2018-06-16 12:02:15.432432,81.0,20.0
2018-06-16 12:07:16.290876,76.0,25.0
2018-06-16 12:12:17.147990,75.0,26.0
2018-06-16 12:17:18.098018,77.0,24.0
2018-06-16 12:22:19.096694,77.0,24.0
2018-06-16 12:27:20.264647,68.0,33.0
2018-06-16 12:32:21.447943,69.0,32.0
2018-06-16 12:37:22.760565,72.0,29.0
2018-06-16 12:42:24.192182,68.0,33.0
2018-06-16 12:47:25.732280,67.0,34.0
2018-06-16 12:52:27.272016,67.0,34.0
2018-06-16 12:57:29.159762,71.0,30.0
2018-06-16 13:02:30.871473,73.0,28.0
2018-06-16 13:07:32.871647,69.0,32.0
2018-06-16 13:12:34.938739,65.0,36.0
2018-06-16 13:17:37.124280,65.0,36.0
2018-06-16 13:22:39.315429,60.0,41.0
2018-06-16 13:27:41.956013,68.0,33.0
2018-06-16 13:32:44.519451,64.0,37.0
2018-06-16 13:37:47.447874,64.0,37.0
2018-06-16 13:42:50.422526,73.0,28.0
2018-06-16 13:47:53.696634,73.0,28.0
2018-06-16 13:52:56.858530,68.0,33.0
2018-06-16 13:58:00.158649,79.0,22.0
2018-06-16 14:03:03.935175,77.0,24.0
2018-06-16 14:08:07.737565,77.0,24.0
2018-06-16 14:13:11.531622,77.0,24.0
2018-06-16 14:18:15.451584,77.0,24.0
2018-06-16 14:23:18.860895,78.0,23.0
